gene_id,APC_WT1,APC_WT2,APC_WT3,APC_m4_1,APC_m4_2,APC_m4_3
ENSG00000210082,6747.428338,14938.85985,9335.177332,12371.02298,18079.68539,12198.4215
ENSG00000198804,3749.728518,4230.068422,8494.170918,10345.54586,6070.70937,4360.387096
ENSG00000198712,4594.588903,4176.181815,8298.83499,8948.220981,4696.196857,4088.105484
ENSG00000198938,4227.441253,3890.826411,6918.478008,8241.720528,4307.173307,4364.510414
ENSG00000198899,2496.748194,2581.493748,5299.959946,6253.94024,3374.15664,2501.731574
ENSG00000198886,1499.153618,1626.494637,3449.182462,4165.560545,2342.075355,1686.923555
ENSG00000156508,2111.306272,3250.852792,1970.825898,2133.48325,2786.948125,2274.647498
ENSG00000034510,2358.865735,2865.774314,1965.834278,2222.474486,1908.178399,1939.289034
ENSG00000212907,1488.643506,1462.867282,3047.260318,3395.707897,2100.130148,1554.21812
ENSG00000229117,1781.063081,1697.864596,1530.678306,1765.152598,1832.204019,1728.8873
ENSG00000210135,1674.965433,1656.664475,1463.631953,1861.825158,1586.626629,1666.73747
ENSG00000142541,1451.184332,1913.868106,1154.277463,1324.667508,1639.602444,1426.369733
ENSG00000198840,1635.798203,1230.944589,1474.18791,1744.300289,1384.869054,1314.914604
ENSG00000198888,951.0079053,835.3936039,1704.231394,2382.139951,1727.888292,1011.553278
ENSG00000198763,899.2653451,1179.243074,1717.343606,2128.749718,1564.892148,889.9310732
ENSG00000112306,1403.306733,1541.833971,1099.819469,1470.373587,1529.815187,1324.696059
ENSG00000210196,862.5087556,1294.598089,1251.471523,1688.924892,1660.072168,1215.844967
ENSG00000140988,1553.156965,1666.318754,1124.827895,1125.061935,1265.514383,1205.418897
ENSG00000211459,935.5392677,1843.446258,1183.209256,1155.108372,1539.795407,1023.790196
ENSG00000210140,999.2252431,1101.393963,1101.745212,1341.592818,1385.197038,1458.70751
ENSG00000184009,1157.502327,1512.914588,1006.586676,960.4897094,1192.647762,1125.374811
ENSG00000227097,1074.845382,1618.991633,909.7426855,1117.325482,1214.479172,939.4150785
ENSG00000167658,989.4951882,1574.556087,916.4466385,911.8308147,1295.302421,1156.729078
ENSG00000198727,906.2930193,594.7126167,1761.279951,1686.802037,661.3577921,766.9651956
ENSG00000075624,1305.363417,1026.796421,1046.932151,1017.886695,779.795617,977.9567046
ENSG00000111640,1260.11009,821.7653495,959.508241,1003.21698,725.6519203,1007.20863
ENSG00000096384,1201.577457,846.1433528,840.1429143,836.0530078,829.5690129,901.7230185
ENSG00000161016,982.4943712,1120.853494,744.141228,743.6835315,763.0201896,771.8949666
ENSG00000231500,875.8794152,1028.482302,724.8169716,801.5528814,880.0671657,727.4735526
ENSG00000170421,1110.183686,1127.222126,996.1992304,598.2651893,493.2012766,576.3040926
ENSG00000198695,565.9307739,470.6226952,1026.915363,1314.435389,862.3785735,502.8819715
ENSG00000205542,822.8506273,1127.480237,712.6253204,803.3107109,580.0453088,607.0105443
ENSG00000108298,854.1047066,895.051634,676.2461812,722.1044941,785.1964563,676.5248642
ENSG00000137309,731.5406913,1325.248739,652.8628677,561.0363597,750.5552738,558.9368851
ENSG00000142534,781.4955655,992.2667435,650.2818973,701.4940369,782.5701706,657.0930128
ENSG00000237550,717.6123872,991.0033585,675.9918337,731.7491647,777.4829797,621.999683
